 [-4.52507964e-01  1.57892116e+00]
 [-4.37755073e-01  1.59735767e+00]
 [-4.12157156e-01  1.57561120e+00]
 [-4.00069559e-01  1.60543328e+00]
 [-3.82211889e-01  1.61352175e+00]
 [-3.65090692e-01  1.62528725e+00]
 [-3.50017581e-01  1.64755806e+00]
 [-3.31204897e-01  1.65336969e+00]
 [-3.15308202e-01  1.67492295e+00]
 [-2.93309898e-01  1.66429883e+00]
 [-2.71230651e-01  1.65113284e+00]
 [-2.52601921e-01  1.65805669e+00]
 [-2.31429958e-01  1.64755063e+00]
 [-2.10061355e-01  1.63308216e+00]
 [-1.89195803e-01  1.61949685e+00]
